"""Parent ID number""",ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
IO,IO-WRL-001,Data Analysis ,"Responsible for analyzing data from multiple disparate sources to provide cybersecurity and privacy insight. Designs and implements custom algorithms, workflow processes, and layouts for complex, enterprise-scale data sets used for modeling, data mining, and research purposes.",1,,,,0,null,"T0068,T0460,T0349,T0383,T1020,T1063,T1064,T1065,T1066,T1297,T1400,T1440,T1445,T1458,T1491,S0028,S0029,S0172,S0109,S0114,S0118,S0399,S0400,S0558,S0559,S0562,S0563,S0579,S0586,S0597,S0600,S0610,S0621,S0622,S0626,S0631,S0636,S0640,S0644,S0646,S0648,S0649,S0650,S0681,S0700,S0701,S0709,S0710,S0711,S0712,S0728,S0735,S0791,S0807,S0808,S0819,S0820,S0828,S0835,S0854,S0877,S0897,K0068,K0647,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0685,K0686,K0693,K0759,K0694,K0695,K0699,K0700,K0702,K0703,K0704,K0705,K0706,K0707,K0708,K0716,K0717,K0736,K0738,K0739,K0742,K0744,K0746,K0747,K0750,K0751,K0752,K0766,K0775,K0805,K0813,K0814,K0862,K0867,K0897,K0904,K0914,K0952,K0953,K0983,K0991,K0992,K1014,K1094,K1096,K1097,K1099,K1101,K1146,K1157,K1219,K1233,K1238",2362,,
DD,DD-WRL-004,Secure Systems Development,"Responsible for the secure design, development, and testing of systems and the evaluation of system security throughout the systems development life cycle.",1,,,,0,null,"T1075,T1078,T0122,T0124,T0084,T0271,T1079,T1010,T1019,T1020,T1022,T1026,T1027,T1030,T1041,T1046,T1047,T1072,T1081,T1084,T1096,T1132,T1118,T1133,T1119,T1134,T1122,T1123,T1124,T1128,T1138,T1129,T1131,T1148,T1149,T1150,T1160,T1161,T1162,T1163,T1164,T1195,T1206,T1193,T1194,T1269,T1292,T1294,T1309,T1326,T1312,T1364,T1363,T1365,T1401,T1454,T1455,T1489,T1522,T1507,T1508,T1519,T1520,T1563,T1583,T1584,T1585,T1586,T1592,T1593,T1604,T1613,T1614,S0790,S0141,S0172,S0383,S0385,S0391,S0409,S0418,S0419,S0423,S0428,S0429,S0430,S0462,S0463,S0465,S0466,S0532,S0543,S0544,S0569,S0570,S0571,S0574,S0578,S0619,S0655,S0664,S0674,S0675,S0681,S0686,S0744,S0788,S0789,S0824,S0861,S0878,S0893,S0899,K0018,K0055,K0653,K0068,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0685,K0686,K0759,K0694,K0698,K0707,K0710,K0711,K0712,K0713,K0714,K0715,K0716,K0717,K0719,K0721,K0722,K0728,K0729,K0730,K0731,K0736,K0737,K0739,K0742,K0744,K0745,K0746,K0747,K0748,K0749,K0751,K0752,K0755,K0756,K0757,K0758,K0764,K0765,K0767,K0768,K0769,K0771,K0772,K0773,K0778,K0779,K0791,K0803,K0813,K0814,K0820,K0828,K0838,K0839,K0840,K0842,K0846,K0847,K0848,K0849,K0851,K0859,K0865,K0866,K0870,K0871,K0872,K0873,K0877,K0878,K0879,K0880,K0891,K0915,K0917,K0918,K0919,K0922,K0928,K0934,K0937,K0942,K0947,K0948,K0952,K0983,K1014,K1063,K1080,K1081,K1088,K1100,K1111,K1119,K1120,K1148,K1149,K1150,K1158,K1164,K1194,K1212,K1235",2350,,
IO,IO-WRL-003,Knowledge Management,"Responsible for managing and administering processes and tools to identify, document, and access an organization’s intellectual capital.",1,,,,0,null,"T1020,T1105,T1222,T1223,T1239,T1240,T1273,T1274,T1296,T1354,T1504,T1523,T1524,T1525,T1658,T1913,S0011,S0507,S0530,S0557,S0586,S0744,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0691,K0692,K0703,K0736,K0751,K0752,K0774,K0775,K0776,K0863,K0864,K0865,K0866,K0895,K0896,K0917,K0918,K0919,K0929,K0934,K0953,K0983,K0991,K0992,K1014,K1051,K1088",2359,,
DD,DD-WRL-005,Software Security Assessment,"Responsible for analyzing the security of new or existing computer applications, software, or specialized utility programs and delivering actionable results.",1,,,,0,null,"T1073,T1074,T0311,T1019,T1020,T1052,T1082,T1083,T1106,T1108,T1205,T1202,T1197,T1203,T1204,T1190,T1222,T1223,T1258,T1269,T1302,T1309,T1318,T1319,T1320,T1359,T1354,T1400,T1422,T1529,T1509,T1513,T1528,T1590,T1625,T1624,T1658,T1913,S0175,S0465,S0466,S0543,S0544,S0562,S0563,S0569,S0574,S0616,S0617,S0655,S0657,S0658,S0825,S0829,S0878,S0883,K0068,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0693,K0759,K0695,K0710,K0711,K0712,K0713,K0721,K0722,K0728,K0729,K0730,K0734,K0735,K0737,K0738,K0739,K0744,K0748,K0751,K0752,K0755,K0757,K0762,K0763,K0764,K0765,K0767,K0768,K0778,K0782,K0791,K0803,K0813,K0814,K0820,K0826,K0827,K0828,K0839,K0846,K0847,K0870,K0871,K0877,K0878,K0915,K0917,K0918,K0919,K0920,K0948,K0955,K0956,K0957,K0983,K1014,K1079,K1093,K1099,K1117,K1118,K1126,K1128,K1137,K1148,K1149,K1150,K1157,K1165,K1205,K1208,K1214,K1215",2351,,
,IO,IMPLEMENTATION and OPERATION,"Provides implementation, administration, configuration, operation, and maintenance to ensure effective and efficient technology system performance and security.",1,,,,0,null,,2355,,
DD,DD-WRL-006,Systems Requirements Planning ,Responsible for consulting with internal and external customers to evaluate and translate functional requirements and integrating security policies into technical solutions. ,1,,,,0,null,"T0235,T1031,T1019,T1020,T1022,T1023,T1026,T1107,T1097,T1115,T1139,T1127,T1217,T1243,T1244,T1259,T1283,T1366,T1367,T1392,T1393,T1430,T1423,T1408,T1409,T1431,T1534,T1527,T1573,S0066,S0465,S0466,S0497,S0515,S0551,S0554,S0555,S0556,S0590,S0654,S0673,S0674,S0675,S0724,S0759,S0801,S0822,S0824,S0830,S0870,S0878,S0886,S0891,K0018,K0055,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0685,K0686,K0687,K0690,K0759,K0698,K0715,K0721,K0727,K0728,K0729,K0730,K0731,K0733,K0736,K0742,K0743,K0744,K0745,K0746,K0747,K0748,K0749,K0751,K0752,K0755,K0756,K0757,K0758,K0765,K0768,K0769,K0771,K0772,K0773,K0779,K0803,K0820,K0828,K0834,K0838,K0839,K0840,K0842,K0848,K0849,K0851,K0865,K0866,K0872,K0873,K0891,K0892,K0920,K0928,K0934,K0942,K0947,K0952,K0962,K0963,K0983,K1014,K1050,K1077,K1084,K1086,K1122,K1128,K1213,K1227,K1228",2352,,
IO,IO-WRL-006,Systems Security Analysis,"Responsible for developing and analyzing the integration, testing, operations, and maintenance of systems security. Prepares, performs, and manages the security aspects of implementing and operating a system.",1,,,,0,null,"T1075,T1076,T1077,T0309,T1020,T1023,T1173,T1177,T1174,T1176,T1172,T1212,T1218,T1219,T1255,T1263,T1264,T1265,T1278,T1287,T1294,T1327,T1437,T1532,T1522,T1533,T1539,T1540,T1541,T1563,T1557,T1559,T1548,T1560,T1550,T1568,T1574,T1583,T1584,T1585,T1603,T1615,T1616,T1618,S0141,S0479,S0480,S0483,S0484,S0485,S0486,S0543,S0544,S0570,S0571,S0574,S0578,S0597,S0667,S0674,S0675,S0688,K0018,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0685,K0686,K0759,K0694,K0698,K0707,K0710,K0719,K0721,K0723,K0728,K0729,K0730,K0731,K0734,K0735,K0736,K0739,K0742,K0744,K0745,K0749,K0751,K0752,K0756,K0757,K0758,K0765,K0772,K0773,K0778,K0779,K0791,K0803,K0820,K0828,K0834,K0840,K0842,K0848,K0849,K0851,K0859,K0865,K0866,K0870,K0871,K0872,K0873,K0877,K0878,K0879,K0880,K0894,K0915,K0917,K0918,K0919,K0920,K0924,K0927,K0928,K0930,K0931,K0932,K0934,K0937,K0942,K0947,K0948,K0983,K1014,K1050,K1120,K1216,K1222",2360,,
DD,DD-WRL-007,Systems Testing and Evaluation,"Responsible for planning, preparing, and executing system tests; evaluating test results against specifications and requirements; and reporting test results and findings.",1,,,,0,null,"T0080,T0274,T0512,T0513,T1020,T1049,T1136,T1138,T1208,T1209,T1210,T1214,T1215,T1255,T1346,T1484,T1506,T1587,T1610,T1611,T1612,T1829,S0015,S0048,S0401,S0402,S0403,S0409,S0558,S0559,S0568,S0573,S0579,S0597,S0598,S0630,S0632,S0634,S0635,S0639,S0791,S0842,S0889,K0068,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0685,K0686,K0710,K0711,K0720,K0721,K0728,K0729,K0730,K0731,K0749,K0751,K0752,K0758,K0765,K0770,K0772,K0778,K0779,K0791,K0803,K0813,K0820,K0828,K0837,K0838,K0839,K0840,K0842,K0851,K0865,K0866,K0870,K0871,K0879,K0880,K0881,K0891,K0915,K0917,K0918,K0919,K0928,K0934,K0947,K0983,K1014,K1100",2353,,
DD,DD-WRL-008,Technology Research and Development,Responsible for conducting software and systems engineering and software systems research to develop new capabilities with fully integrated cybersecurity. Conducts comprehensive technology research to evaluate potential vulnerabilities in cyberspace systems. ,1,,,,0,null,"T1079,T1019,T1020,T1023,T1041,T1084,T1118,T1119,T1142,T1337,T1338,T1378,T1379,T1380,T1424,T1425,T1495,T1489,T1496,T1491,T1493,T1494,T1610,S0172,S0385,S0391,S0465,S0466,S0475,S0481,S0482,S0483,S0532,S0543,S0544,S0551,S0562,S0563,S0660,S0668,S0669,S0675,S0744,S0807,S0827,K0176,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0688,K0696,K0698,K0710,K0718,K0721,K0731,K0736,K0743,K0749,K0751,K0752,K0758,K0765,K0771,K0773,K0778,K0779,K0780,K0791,K0792,K0797,K0803,K0809,K0812,K0820,K0828,K0834,K0838,K0839,K0840,K0841,K0842,K0851,K0870,K0871,K0877,K0878,K0882,K0884,K0894,K0915,K0923,K0924,K0925,K0926,K0928,K0936,K0942,K0947,K0955,K0956,K0983,K1014,K1019,K1050,K1073,K1088,K1172,K1207,K1217",2354,,
,DD,DESIGN and DEVELOPMENT,"Conducts research, conceptualizes, designs, develops, and tests secure technology systems, including on perimeter and cloud-based networks.",1,,,,0,null,,2345,,
IO,IO-WRL-005,Systems Administration,"Responsible for setting up and maintaining a system or specific components of a system in adherence with organizational security policies and procedures. Includes hardware and software installation, configuration, and updates; user account management; backup and recovery management; and security control implementation.",1,,,,0,null,"T0531,T0431,T1020,T1092,T1140,T1141,T1130,T1228,T1275,T1276,T1277,T1334,T1500,T1501,T1502,T1530,T1512,T1531,T1527,T1569,T1570,T1571,T1578,T1579,T1588,T1589,S0741,S0045,S0111,S0407,S0408,S0430,S0438,S0448,S0449,S0451,S0472,S0473,S0487,S0488,S0561,S0577,S0582,S0587,S0593,S0606,S0613,S0662,S0663,S0672,S0674,S0675,S0677,S0678,S0687,S0729,S0762,S0844,K0064,K0645,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0685,K0686,K0759,K0710,K0712,K0713,K0716,K0717,K0728,K0729,K0730,K0731,K0736,K0737,K0740,K0741,K0744,K0746,K0747,K0749,K0751,K0752,K0758,K0760,K0761,K0765,K0770,K0778,K0779,K0780,K0781,K0791,K0792,K0794,K0805,K0806,K0829,K0830,K0837,K0840,K0842,K0851,K0858,K0859,K0870,K0871,K0877,K0878,K0891,K0915,K0917,K0918,K0919,K0925,K0926,K0928,K0935,K0946,K0947,K0958,K0983,K1014,K1069,K1072,K1188,K1226",2356,,
IO,IO-WRL-002,Database Administration,"Responsible for administering databases and data management systems that allow for the secure storage, query, protection, and utilization of data.",1,,,,0,null,"T0137,T0330,T0422,T0459,T1020,T1065,T1066,T1230,T1231,T1249,T1297,T1402,T1564,T1565,S0045,S0545,S0546,S0558,S0559,S0579,S0586,S0728,S0791,S0819,S0820,S0828,S0835,S0897,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0685,K0686,K0759,K0698,K0699,K0700,K0701,K0702,K0703,K0704,K0705,K0706,K0707,K0708,K0716,K0717,K0742,K0744,K0746,K0747,K0750,K0751,K0752,K0766,K0777,K0859,K0862,K0865,K0866,K0867,K0874,K0875,K0876,K0917,K0918,K0919,K0934,K0942,K0983,K0991,K0992,K1014,K1114,K1121,K1147,K1161",2357,,
IO,IO-WRL-004,Network Operations,"Responsible for planning, implementing, and operating network services and systems, including hardware and virtual environments.",1,,,,0,null,"T0153,T0126,T0129,T0081,T1020,T1050,T1100,T1101,T1144,T1143,T1208,T1209,T1210,T1214,T1215,T1248,T1313,T1314,S0035,S0077,S0421,S0424,S0425,S0451,S0575,S0576,S0582,S0583,S0584,S0585,S0615,S0618,S0671,S0675,S0682,S0685,S0722,S0755,S0815,K0159,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0685,K0686,K0689,K0710,K0712,K0713,K0718,K0721,K0731,K0736,K0737,K0740,K0741,K0746,K0747,K0749,K0751,K0752,K0753,K0758,K0765,K0770,K0773,K0778,K0779,K0781,K0783,K0791,K0792,K0805,K0811,K0812,K0831,K0837,K0840,K0842,K0848,K0849,K0851,K0859,K0865,K0866,K0870,K0871,K0872,K0873,K0874,K0875,K0876,K0877,K0878,K0879,K0880,K0891,K0915,K0917,K0918,K0919,K0923,K0925,K0926,K0928,K0934,K0936,K0947,K0983,K1014,K1032,K1077,K1084,K1108",2361,,
IN,IN-WRL-002,Digital Evidence Analysis,"Responsible for identifying, collecting, examining, and preserving digital evidence using controlled and documented analytical and investigative techniques.",1,,,,0,null,"T0173,T0172,T0167,T0179,T0168,T0182,T1064,T1065,T1090,T1102,T1103,T1104,T1120,T1121,T1175,T1159,T1199,T1191,T1207,T1253,T1256,T1282,T1301,T1325,T1332,T1322,T1323,T1324,T1370,T1381,T1382,T1383,T1486,T1516,T1542,T1607,T2012,T2013,T2014,T2015,T2016,T2017,T2018,T2019,T2020,T2021,T2022,T2023,T2024,T2025,T2026,T2027,S0378,S0156,S0385,S0431,S0472,S0476,S0499,S0589,S0599,S0605,S0606,S0607,S0608,S0612,S0622,S0623,S0624,S0625,S0651,S0834,S0854,S0856,S0857,S0866,S0860,S0884,S0935,S0936,S0937,S0938,K0793,K0636,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0759,K0696,K0697,K0701,K0710,K0724,K0725,K0726,K0744,K0751,K0752,K0760,K0770,K0778,K0786,K0787,K0791,K0794,K0795,K0796,K0797,K0800,K0802,K0804,K0806,K0808,K0809,K0810,K0812,K0837,K0840,K0842,K0850,K0851,K0852,K0853,K0854,K0855,K0856,K0857,K0858,K0859,K0870,K0871,K0892,K0911,K0914,K0915,K0916,K0923,K0941,K0947,K0962,K0963,K0979,K0983,K1004,K1014,K1016,K1055,K1069,K1079,K1091,K1092,K1115,K1145,K1147,K1151,K1152,K1153,K1154,K1155,K1163,K1175,K1220,K1280,K1281,K1282,K1283,K1284",2365,,
,IN,INVESTIGATION,"Conducts national cybersecurity and cybercrime investigations, including the collection, management, and analysis of digital evidence.",1,,,,0,null,,2363,,
S,S0593,S0593 - Skill in handling incidents,Skill in handling incidents,1,,,,0,null,"IO-WRL-005,IO-WRL-007,PD-WRL-001,PD-WRL-004",3561,,
OG,OG-WRL-001,Communications Security (COMSEC) Management,Responsible for managing the Communications Security (COMSEC) resources of an organization.,1,,,,0,null,"T1015,T1016,T1017,T1018,T1020,T1022,T1023,T1058,T1059,T1060,T1088,T1113,T1114,T1178,T1186,T1300,T1310,S0486,S0574,S0578,S0596,S0619,S0657,S0658,S0841,S0850,S0858,S0878,K0018,K0671,K0672,K0673,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0709,K0721,K0724,K0725,K0726,K0731,K0746,K0747,K0749,K0751,K0752,K0758,K0765,K0771,K0779,K0798,K0799,K0803,K0834,K0840,K0842,K0851,K0865,K0866,K0928,K0931,K0932,K0934,K0947,K0983,K1014,K1050,K1077,K1084,K1171,K1179",2367,,
OG,OG-WRL-010,Program Management ,"Responsible for leading, coordinating, and the overall success of a defined program. Includes communicating about the program and ensuring alignment with agency or organizational  priorities.",1,,,,0,null,"T0220,T1031,T0412,T1011,T1020,T1022,T1023,T1026,T1145,T1146,T1154,T1155,T1227,T1259,T1291,T1306,T1366,T1344,T1345,T1367,T1369,T1394,T1395,T1396,T1397,T1398,T1399,T1435,T1448,T1472,T1498,T1474,T1497,T1552,T1553,T1601,T1602,T1621,T1622,S0384,S0413,S0412,S0423,S0462,S0463,S0555,S0556,S0580,S0581,S0673,S0687,S0759,S0811,S0870,K0653,K0650,K0651,K0498,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0690,K0721,K0728,K0729,K0730,K0733,K0734,K0735,K0751,K0752,K0754,K0771,K0803,K0819,K0820,K0821,K0828,K0834,K0835,K0836,K0838,K0863,K0864,K0868,K0869,K0872,K0873,K0920,K0922,K0983,K1014,K1137,K1180,K1206",2368,,
